record_id,ticker,target_session_date,predicted_movement,prob_down,prob_flat,prob_up,downside_return,base_return,upside_return,same_ticker_history_count,reference_history_end_date,class_median_fallbacks,history_scope,scenario_method,disclaimer
1,NVDA,2019-05-17,Down,0.694302476379368,0.0682227888297762,0.2374747347908557,-0.0368712909991626,-0.012828388777149171,0.0559463986457531,91,2019-05-09,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
2,TSLA,2019-05-17,Down,0.6949790292116979,0.1008092934285681,0.2042116773597338,-0.04779379253499375,-0.010396968635845131,0.0360394537232713,257,2019-05-14,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
3,AMD,2019-05-20,Up,0.2072710383887246,0.0653919191746047,0.7273370424366706,-0.06296700570578022,0.01510096615135341,0.061837596263571576,105,2019-05-02,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
4,INTC,2019-05-22,Up,0.4038783952077667,0.1558939220050197,0.4402276827872136,-0.0216147341707751,0.0010539323001710534,0.020426834628361,186,2019-05-09,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
5,NVDA,2019-05-22,Down,0.600055503810284,0.089465819586095,0.3104786766036209,-0.0368712909991626,-0.008921142930387888,0.0559463986457531,91,2019-05-09,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
6,GOOGL,2019-05-24,Up,0.1971781932053983,0.2076105121365094,0.5952112946580922,-0.023514638583672757,0.0033227797691317866,0.02148987650703747,107,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
7,AMZN,2019-05-28,Up,0.1643938457139627,0.1980676285730803,0.6375385257129569,-0.02205416518775645,0.009296993458267011,0.0622794417548899,156,2019-05-15,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
8,GOOGL,2019-05-28,Flat,0.176841585875604,0.4230785480359932,0.4000798660884028,-0.023514638583672757,0.0011455659356867497,0.02148987650703747,107,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
9,META,2019-05-28,Up,0.139335059948522,0.1699178111445768,0.6907471289069012,-0.01580573193015213,0.017378612689595244,0.0405913519060487,102,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
10,GOOGL,2019-05-29,Up,0.1753966538212221,0.2547186558711954,0.5698846903075824,-0.023514638583672757,0.0034400697473732185,0.02148987650703747,107,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
