record_id,ticker,query_session_date,predicted_movement,historical_rank,historical_article_id,historical_session_date,historical_source_url,historical_movement_label,historical_reaction_return,text_similarity,candidate_scope,retrieval_rule
1,NVDA,2019-05-17,Down,1,cd9fb3c8905c1e56038217b1,2015-02-12,https://www.sec.gov/Archives/edgar/data/1045810/000104581015000013/form8-kq415.htm,Up,0.0716001921057525,0.36707684076416264,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
1,NVDA,2019-05-17,Down,2,73f0e075709508223a1bcca5,2016-05-26,https://www.sec.gov/Archives/edgar/data/1045810/000104581016000276/a2016s-8.htm,Up,0.0106265220292138,0.36707684076416264,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
1,NVDA,2019-05-17,Down,3,51bc6a6925f5b929b1e0be0e,2016-06-22,https://www.sec.gov/Archives/edgar/data/1045810/000104581016000284/form8-kdavidshannon.htm,Flat,-0.0008462026224776,0.36707684076416264,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
1,NVDA,2019-05-17,Down,4,ac60e3108e1b84a04bc24bd0,2016-08-12,https://www.sec.gov/Archives/edgar/data/1045810/000104581016000292/form8-kq2fy17.htm,Up,0.0559463986457531,0.36707684076416264,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
1,NVDA,2019-05-17,Down,5,e39d4c014675353f7de65302,2016-09-19,https://www.sec.gov/Archives/edgar/data/1045810/000119312516711700/d260668d8k.htm,Up,0.0132081476619265,0.36707684076416264,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
2,TSLA,2019-05-17,Down,1,0db0250e618a8f5487d81608,2017-06-08,https://www.sec.gov/Archives/edgar/data/1318605/000156459017012264/tsla-8k_20170609.htm,Up,0.0287779785902559,0.11972356017350061,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
2,TSLA,2019-05-17,Down,2,041b56623ca5b30832f560c2,2018-03-09,https://www.sec.gov/Archives/edgar/data/1318605/000156459018004979/tsla-8k_20180307.htm,Down,-0.0058644788833183,0.11972356017350061,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
2,TSLA,2019-05-17,Down,3,e898bdbe657c2375e84507ed,2018-02-12,https://www.sec.gov/Archives/edgar/data/1318605/000156459018001786/tsla-8k_20180209.htm,Up,0.0171058565813781,0.11972356017350061,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
2,TSLA,2019-05-17,Down,4,91b45dfb94665f2f580da89a,2018-02-09,https://www.sec.gov/Archives/edgar/data/1318605/000156459018001693/tsla-8k_20180202.htm,Down,-0.0152586999936794,0.11972356017350061,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
2,TSLA,2019-05-17,Down,5,9d089f4c549db759b9f98b23,2018-02-08,https://www.sec.gov/Archives/edgar/data/1318605/000156459018001521/tsla-8k_20180207.htm,Down,-0.086289855073913,0.11972356017350061,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
3,AMD,2019-05-20,Up,1,25e1e8fb00500fcce07b53bb,2015-02-18,https://www.sec.gov/Archives/edgar/data/2488/000119312515051437/d876597d8ka.htm,Down,-0.0096463022508037,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
3,AMD,2019-05-20,Up,2,4fc2fea3cb511bf6d4618acd,2016-09-15,https://www.sec.gov/Archives/edgar/data/2488/000119312516709676/d258400d8k.htm,Flat,-0.0033112582781458,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
3,AMD,2019-05-20,Up,3,d61564774d95c62564e8f250,2017-02-01,https://www.sec.gov/Archives/edgar/data/2488/000000248817000017/a20170131q416earnings8-k.htm,Up,0.1629701060752171,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
3,AMD,2019-05-20,Up,4,e0ae6b64e83057e0d21ce3cd,2019-05-01,https://www.sec.gov/Archives/edgar/data/2488/000000248819000043/a20190430q119earnings8-k.htm,Down,-0.0296778863554108,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
3,AMD,2019-05-20,Up,5,b98365cf3d2d99e655105e0b,2017-02-22,https://www.sec.gov/Archives/edgar/data/2488/000000248817000041/amd-form8xk2016eip022117fi.htm,Up,0.02,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
4,INTC,2019-05-22,Up,1,7a52df382c8a34ac41ca33da,2019-05-09,https://www.sec.gov/Archives/edgar/data/50863/000119312519142117/d741646d8k.htm,Down,-0.0532087733538912,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
4,INTC,2019-05-22,Up,2,110401803fd1d7e82910d933,2018-04-27,https://www.sec.gov/Archives/edgar/data/50863/000119312518135608/d573091ds4.htm,Down,-0.0060320452387516,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
4,INTC,2019-05-22,Up,3,0774a07b36bb780162f1a672,2018-04-27,https://www.sec.gov/Archives/edgar/data/50863/000005086318000012/q1-2018_form8xk.htm,Down,-0.0060320452387516,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
4,INTC,2019-05-22,Up,4,717e0adfe21234232188cccf,2018-03-19,https://www.sec.gov/Archives/edgar/data/50863/000119312518086793/d518999d8k.htm,Down,-0.0066445182719721,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
4,INTC,2019-05-22,Up,5,688c720de21dd8be39fd2c26,2017-03-07,https://www.sec.gov/Archives/edgar/data/50863/000119312517071591/d338785d8k.htm,Up,0.0064661231377098,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
